Qwen2.5-72B-Instruct,siliconflow-Qwen2.5-72B-Instruct,Deepseek-V3,awz-GPT-4o,GPT-4o,siliconflow-Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5-32B-Instruct,awz-GPT-4o-mini,GPT-4o-mini,Qwen2-7B-Instruct,siliconflow-Qwen2-7B-Instruct,Qwen2.5-7B-Instruct,GLM4-9B-chat,openrouter-Qwen2-7B-Instruct,openrouter-GLM4-9B-chat,openrouter-GPT-4o,openrouter-GPT-4o-mini,awz-Qwen2.5-7B-Instruct
2,2,3,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
2,2,3,4,4,1,1,2,2,2,1,1,2,2,1,2,4,2,2
1,1,3,5,5,1,1,2,3,3,2,2,2,1,2,1,5,3,2
