Qwen2.5-72B-Instruct,siliconflow-Qwen2.5-72B-Instruct,Deepseek-V3,awz-GPT-4o,GPT-4o,siliconflow-Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5-32B-Instruct,awz-GPT-4o-mini,GPT-4o-mini,Qwen2-7B-Instruct,siliconflow-Qwen2-7B-Instruct,Qwen2.5-7B-Instruct,GLM4-9B-chat,openrouter-Qwen2-7B-Instruct,openrouter-GLM4-9B-chat,openrouter-GPT-4o,openrouter-GPT-4o-mini,awz-Qwen2.5-7B-Instruct
0.02,0.02,0,0.9,0.9,0.4,0.4,0.03,0.75,0.75,0.06,0.06,0.2,0,0.06,0,0.9,0.75,0.06
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.14,0.14,0.6,0.2,0.2,0.18,0.18,0.06,0.15,0.15,0.22,0.22,0.18,0.14,0.22,0.14,0.2,0.15,0.22
0.26,0.26,0.18,0.7,0.7,0.46,0.46,0.34,0.5,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.7,0.5,0.1
